temporada,nombre_inc,rol,nompredrea,USO_TIERRA,USO,SUBUSO,ESTRUCTURA,COBERTURA,ALTURA,TIPO_FORES,SUBTIPOFOR,NOM_REG,NOM_PROV,NOM_COM,SOLICITUD,ESTAD_SOL,ANO,NOM_PREDIO,ROL_AVAL,LONG,LAT
2016-2017,LOS JUNCOS,8085-344,PROY PARC EL MILAGRO PARC 2 LOTE B,Bosque Nativo Renoval Semidenso,Bosques,Bosque Nativo,Renoval,Semidenso,< 2,Esclerofilo,Esclerofilo,Region del Maule,Talca,San Rafael,,,0,,,-71.4823,-35.2862
2016-2017,LA PALMILLA,23-1,LA PALMILLA,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Curico,Rauco,,,0,,,-71.3111,-34.8927
2016-2017,LA FAVORITA,629-3,FUNDO YUNGAY MANZANALES,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Curico,Molina,,,0,,,-71.2288,-35.1003
2016-2017,LOS PINOS,RUTA 5,,Matorral Arborescente Semidenso,Praderas y Matorrales,Matorral Arborescente,No Aplica,Semidenso,,,,Region del Maule,Curico,Molina,,,0,,,-71.3825,-35.1623
2016-2017,ITAHUE,RUTA 5,,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Curico,Molina,,,0,,,-71.3742,-35.1509
2016-2017,PICHINGAL,629-22,FUNDO LA ALIANZA,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Curico,Molina,,,0,,,-71.2214,-35.1141
2016-2017,LA PANCORA,32-33,TRICAO,Matorral-Pradera Abierto,Praderas y Matorrales,Matorral-Pradera,No Aplica,Abierto,,,,Region del Maule,Curico,Rauco,,,0,,,-71.3800,-34.9481
2016-2017,TRICAO,34-28,LAS GARZAS,Bosque Nativo Renoval Semidenso,Bosques,Bosque Nativo,Renoval,Semidenso,2 - 4,Esclerofilo,Peumo-Quillay-Litre,Region del Maule,Curico,Rauco,,,0,,,-71.4276,-34.9795
2016-2017,EL GUINDO,32-82,,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Curico,Rauco,,,0,,,-71.3418,-34.9339
2016-2017,PICHINGAL,629-8,STA SOFIA DE YUNGAY,Matorral Abierto,Praderas y Matorrales,Matorral,No Aplica,Abierto,,,,Region del Maule,Curico,Molina,,,0,,,-71.2034,-35.1060
2016-2017,LAS 25,629-21,FUNDO EL NOGAL PICHINGAL,Plantacion Adulta,Bosques,Plantacion,Adulta,No Aplica,,,,Region del Maule,Curico,Molina,,,0,,,-71.1907,-35.1269
2016-2017,EL NOGAL,629-21,FUNDO EL NOGAL PICHINGAL,Plantacion Adulta,Bosques,Plantacion,Adulta,No Aplica,,,,Region del Maule,Curico,Molina,,,0,,,-71.1956,-35.1147
2016-2017,PICHINGAL,629-21,FUNDO EL NOGAL PICHINGAL,Plantacion Adulta,Bosques,Plantacion,Adulta,No Aplica,,,,Region del Maule,Curico,Molina,,,0,,,-71.1963,-35.1156
2016-2017,LAS 25,636-2,SANTA ANA,Plantacion Adulta,Bosques,Plantacion,Adulta,No Aplica,,,,Region del Maule,Curico,Molina,,,0,,,-71.1895,-35.1371
2016-2017,SANTA MARCELA,636-2,SANTA ANA,Plantacion Joven o Recien Cosechada,Bosques,Plantacion,Joven o Recien Cosechada,No Aplica,,,,Region del Maule,Curico,Molina,,,0,,,-71.1842,-35.1341
2016-2017,LAS 25,634-9,CORCOLEN PC 3,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Curico,Molina,,,0,,,-71.2012,-35.1397
2016-2017,ITAHUE,RV-29,,Ciudades. Pueblos. Zonas Industriales,Areas Urbanas e Industriales,Ciudades. Pueblos. Zonas Industriales,,,,,,Region del Maule,Curico,Molina,,,0,,,-71.3603,-35.1383
2016-2017,LOMA BLANCA,639-37,PC 29 PP BUENA FE ORIENTE,Matorral Arborescente Abierto,Praderas y Matorrales,Matorral Arborescente,No Aplica,Abierto,,,,Region del Maule,Curico,Molina,,,0,,,-71.2071,-35.1804
2016-2017,EL YACAL,641-35,PROYECTO PARCELACION QLUPEHUE PARCELA 4,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Curico,Molina,,,0,,,-71.1235,-35.1900
2016-2017,LOS CANALES,RIO LONTUE,,Cajas de Rios,Areas Desprovistas de Vegetaci?â,Cajas de Rios,,,,,,Region del Maule,Curico,Molina,,,0,,,-71.2342,-35.0506
2016-2017,PASO ANCHO,SR,,Matorral Arborescente Abierto,Praderas y Matorrales,Matorral Arborescente,No Aplica,Abierto,,,,Region del Maule,Talca,R?â?¡o Claro,,,0,,,-71.3401,-35.1960
2016-2017,PASO ANCHO,24-122,VIENA PC 24,Matorral Arborescente Abierto,Praderas y Matorrales,Matorral Arborescente,No Aplica,Abierto,,,,Region del Maule,Talca,R?â?¡o Claro,,,0,,,-71.3549,-35.1961
2016-2017,PASO ANCHO,SR,,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Talca,R?â?¡o Claro,,,0,,,-71.3233,-35.1727
2016-2017,PASO ANCHO,25-33,BELLAVISTA,Plantacion Joven o Recien Cosechada,Bosques,Plantacion,Joven o Recien Cosechada,No Aplica,,,,Region del Maule,Talca,R?â?¡o Claro,,,0,,,-71.3283,-35.1731
2016-2017,VILLA LOS ROBLES,24-11,LA CONSTANCIA VILLA LOS ROBLES,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Talca,R?â?¡o Claro,,,0,,,-71.3565,-35.2252
2016-2017,PALERMO,25-292,FUNDO SAN JORGE LOTE A 1 A 2 A 3,Matorral Arborescente Abierto,Praderas y Matorrales,Matorral Arborescente,No Aplica,Abierto,,,,Region del Maule,Talca,R?â?¡o Claro,,,0,,,-71.3953,-35.1975
2016-2017,HIJ. SAN FRANSISCO-TERRA,25-185,SAN FRANCISCO LT A,Plantacion Adulta,Bosques,Plantacion,Adulta,No Aplica,,,,Region del Maule,Talca,R?â?¡o Claro,,,0,,,-71.3314,-35.1683
2016-2017,SAN FRANCISCO,25-82,PORVENIR PC 48,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Talca,R?â?¡o Claro,,,0,,,-71.3235,-35.1714
